angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[782, 233, 265, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 233, 265, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[783, 233, 265, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[783, 233, 265, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[783, 234, 265, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 234, 265, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[784, 235, 266, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 232, 266, 350]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 232, 266, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[781, 232, 267, 349]",0.0,0.0,0.97,0.01,0.0,0.01
0.0,"[781, 232, 267, 349]",0.0,0.0,0.97,0.01,0.0,0.01
0.0,"[783, 233, 266, 350]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[783, 233, 266, 350]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[783, 233, 266, 350]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[783, 234, 267, 349]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[783, 234, 267, 349]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[785, 234, 266, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 266, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 266, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[787, 235, 265, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[787, 235, 265, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 233, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[783, 233, 268, 354]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[783, 233, 268, 354]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[784, 233, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 233, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 234, 265, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 234, 265, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 234, 265, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 235, 266, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 235, 266, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 235, 266, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[783, 228, 262, 352]",0.0,0.0,0.98,0.01,0.0,0.0
